"title","volume","ISSN","url","DOI","number","journal","publisher","author","year","month","pages","key","entry","V1","editor","ISBN","booktitle","series","collection","doi","keywords","place","abstractNote"
"Self-foraging vs facilitated foraging by Lesser Black-backed Gull (Larus fuscus) at the Frisian Front, the Netherlands","95","0007-4977","http://dx.doi.org/10.5343/bms.2017.1179","10.5343/bms.2017.1179","1","Bulletin of Marine Science","Bulletin of Marine Science","Baptist, Martin J and van Bemmelen, Rob SA and Leopold, Mardik F and de Haan, Dick and Flores, Hauke and Couperus, Bram and Fassler, Sascha and Geelhoed, Steve CV","2019","jan","29–43","Baptist_2019","article","10.5343/bms.2017.1179",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wind, waves, tides, and human error? – Influences on litter abundance and composition on German North Sea coastlines: An exploratory analysis","146","0025-326X","http://dx.doi.org/10.1016/j.marpolbul.2019.05.062","10.1016/j.marpolbul.2019.05.062",NA,"Marine Pollution Bulletin","Elsevier BV","Schöneich-Argent, Rosanna Isabel and Hillmann, Frank and Cordes, Daniel and Wansing, Raphael Andreas Daniel and Merder, Julian and Freund, Jan Alfred and Freund, Holger","2019","sep","155–172","Sch_neich_Argent_2019","article","10.1016/j.marpolbul.2019.05.062",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sediment supply and barrier dynamics as driving mechanisms of Holocene coastal change for the southern North Sea basin","500","1040-6182","http://dx.doi.org/10.1016/j.quaint.2019.02.028","10.1016/j.quaint.2019.02.028",NA,"Quaternary International","Elsevier BV","Hamilton, Christine A. and Kirby, Jason R. and Lane, Timothy P. and Plater, Andrew J. and Waller, Martyn P.","2019","jan","147–158","Hamilton_2019","article","10.1016/j.quaint.2019.02.028",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trial of a new escape panel concept to reduce cod catches in a mixed demersal fishery","213","0165-7836","http://dx.doi.org/10.1016/j.fishres.2019.01.026","10.1016/j.fishres.2019.01.026",NA,"Fisheries Research","Elsevier BV","Fraser, Shaun and Angus, Chevonne H.","2019","may","212–218","Fraser_2019","article","10.1016/j.fishres.2019.01.026",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sources of uncertainty in estuarine climate impact modeling","7","2324-9676","http://dx.doi.org/10.1080/23249676.2017.1355756","10.1080/23249676.2017.1355756","1","Journal of Applied Water Engineering and Research","Informa UK Limited","Zorndt, Anna C. and Schlurmann, Torsten","2017","sep","37–47","Zorndt_2017","article","10.1080/23249676.2017.1355756",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Exploring the temporal variability of a food web using long‐term biomonitoring data","42","1600-0587","http://dx.doi.org/10.1111/ecog.04461","10.1111/ecog.04461","12","Ecography","Wiley","Olivier, Pierre and Frelat, Romain and Bonsdorff, Erik and Kortsch, Susanne and Kröncke, Ingrid and Möllmann, Christian and Neumann, Hermann and Sell, Anne F. and Nordström, Marie C.","2019","sep","2107–2121","Olivier_2019","article","10.1111/ecog.04461",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Recent advances in understanding the environmental footprint of trawling on the seabed","97","1480-3283","http://dx.doi.org/10.1139/cjz-2018-0248","10.1139/cjz-2018-0248","9","Canadian Journal of Zoology","Canadian Science Publishing","Kaiser, Michel J.","2019","sep","755–762","Kaiser_2019","article","10.1139/cjz-2018-0248",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Low genetic connectivity in a fouling amphipod among man-made structures in the southern North Sea","615","1616-1599","http://dx.doi.org/10.3354/meps12929","10.3354/meps12929",NA,"Marine Ecology Progress Series","Inter-Research Science Center","Luttikhuizen, PC and Beermann, J and Crooijmans, RPMA and Jak, RG and Coolen, JWP","2019","apr","133–142","Luttikhuizen_2019","article","10.3354/meps12929",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prioritised pharmaceuticals in German estuaries and coastal waters: Occurrence and environmental risk assessment","255","0269-7491","http://dx.doi.org/10.1016/j.envpol.2019.113161","10.1016/j.envpol.2019.113161",NA,"Environmental Pollution","Elsevier BV","Kötke, Danijela and Gandrass, Juergen and Xie, Zhiyong and Ebinghaus, Ralf","2019","dec","113161","K_tke_2019","article","10.1016/j.envpol.2019.113161",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Utilizing Eutrophication Assessment Directives From Transitional to Marine Systems in the Thames Estuary and Liverpool Bay, UK","6","2296-7745","http://dx.doi.org/10.3389/fmars.2019.00116","10.3389/fmars.2019.00116",NA,"Frontiers in Marine Science","Frontiers Media SA","Greenwood, Naomi and Devlin, Michelle J. and Best, Mike and Fronkova, Lenka and Graves, Carolyn A. and Milligan, Alex and Barry, Jon and van Leeuwen, Sonja M.","2019","apr",NA,"Greenwood_2019","article","10.3389/fmars.2019.00116",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The diet of harbour and grey seals around Britain: Examining the role of prey as a potential cause of harbour seal declines","29","1099-0755","http://dx.doi.org/10.1002/aqc.3131","10.1002/aqc.3131","S1","Aquatic Conservation: Marine and Freshwater Ecosystems","Wiley","Wilson, Lindsay J. and Hammond, Philip S.","2019","sep","71–85","Wilson_2019","article","10.1002/aqc.3131",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Patterns of invasive ctenophore Mnemiopsis leidyi distribution and variability in different recipient environments of the Eurasian seas: A review","152","0141-1136","http://dx.doi.org/10.1016/j.marenvres.2019.104791","10.1016/j.marenvres.2019.104791",NA,"Marine Environmental Research","Elsevier BV","Shiganova, T.A. and Sommer, U. and Javidpour, J. and Molinero, J.C. and Malej, A. and Kazmin, A.S. and Isinibilir, M. and Christou, E. and Siokou- Frangou, I. and Marambio, M. and Fuentes, V. and Mirsoyan, Z.A. and Gülsahin, N. and Lombard, F. and Lilley, M.K.S. and Angel, D.L. and Galil, B.S. and Bonnet, D. and Delpy, F.","2019","dec","104791","Shiganova_2019","article","10.1016/j.marenvres.2019.104791",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A century of change in North Sea plankton communities explored through integrating historical datasets","76","1095-9289","http://dx.doi.org/10.1093/icesjms/fsy148","10.1093/icesjms/fsy148","1","ICES Journal of Marine Science","Oxford University Press (OUP)","Bedford, Jacob and Johns, David and McQuatters-Gollop, Abigail","2018","oct","104–112","Bedford_2018","article","10.1093/icesjms/fsy148","Thurstan, Ruth",NA,NA,NA,NA,NA,NA,NA,NA
"Sea-level rise in ports: a wider focus on impacts","21","1479-294X","http://dx.doi.org/10.1057/s41278-018-0114-z","10.1057/s41278-018-0114-z","4","Maritime Economics &amp; Logistics","Springer Science and Business Media LLC","Christodoulou, Aris and Christidis, Panayotis and Demirel, Hande","2018","oct","482–496","Christodoulou_2018","article","10.1057/s41278-018-0114-z",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Detecting mortality variation to enhance forage fish population assessments","76","1095-9289","http://dx.doi.org/10.1093/icesjms/fsy160","10.1093/icesjms/fsy160","1","ICES Journal of Marine Science","Oxford University Press (OUP)","Jacobsen, Nis S and Thorson, James T and Essington, Timothy E","2018","nov","124–135","Jacobsen_2018","article","10.1093/icesjms/fsy160","Zhou, Shijie",NA,NA,NA,NA,NA,NA,NA,NA
"Opening of the Norway pout box: will it change the ecological impacts of the North Sea Norway pout fishery?","76","1095-9289","http://dx.doi.org/10.1093/icesjms/fsy121","10.1093/icesjms/fsy121","1","ICES Journal of Marine Science","Oxford University Press (OUP)","Bigné, Matthieu and Nielsen, J Rasmus and Bastardie, François","2018","oct","136–152","Bign__2018","article","10.1093/icesjms/fsy121","Anderson, Emory",NA,NA,NA,NA,NA,NA,NA,NA
"Spatial distribution of microplastics in sediments and surface waters of the southern North Sea","252","0269-7491","http://dx.doi.org/10.1016/j.envpol.2019.06.093","10.1016/j.envpol.2019.06.093",NA,"Environmental Pollution","Elsevier BV","Lorenz, Claudia and Roscher, Lisa and Meyer, Melanie S. and Hildebrandt, Lars and Prume, Julia and Löder, Martin G.J. and Primpke, Sebastian and Gerdts, Gunnar","2019","sep","1719–1729","Lorenz_2019","article","10.1016/j.envpol.2019.06.093",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nutrient, pigment, suspended matter and turbidity measurements in the Belgian part of the North Sea","6","2052-4463","http://dx.doi.org/10.1038/s41597-019-0032-7","10.1038/s41597-019-0032-7","1","Scientific Data","Springer Science and Business Media LLC","Mortelmans, Jonas and Deneudt, Klaas and Cattrijsse, André and Beauchard, Olivier and Daveloose, Ilse and Vyverman, Wim and Vanaverbeke, Jan and Timmermans, Klaas and Peene, Jan and Roose, Patrick and Knockaert, Mark and Chou, Lei and Sanders, Richard and Stinchcombe, Marc and Kimpe, Philippe and Lammens, Saskia and Theetaert, Hannelore and Gkritzalis, Thanos and Hernandez, Francisco and Mees, Jan","2019","apr",NA,"Mortelmans_2019","article","10.1038/s41597-019-0032-7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"A novel approach for assessing effects of ship traffic on distributions and movements of seabirds","251","0301-4797","http://dx.doi.org/10.1016/j.jenvman.2019.109511","10.1016/j.jenvman.2019.109511",NA,"Journal of Environmental Management","Elsevier BV","Burger, Claudia and Schubert, Alexander and Heinänen, Stefan and Dorsch, Monika and Kleinschmidt, Birgit and Žydelis, Ramūnas and Morkūnas, Julius and Quillfeldt, Petra and Nehls, Georg","2019","dec","109511","Burger_2019","article","10.1016/j.jenvman.2019.109511",NA,NA,NA,NA,NA,NA,NA,NA,NA
"An Aero-acoustic Noise Distribution Prediction Methodology for Offshore Wind Farms","12","1996-1073","http://dx.doi.org/10.3390/en12010018","10.3390/en12010018","1","Energies","MDPI AG","Cao, Jiufa and Zhu, Weijun and Wu, Xinbo and Wang, Tongguang and Xu, Haoran","2018","dec","18","Cao_2018","article","10.3390/en12010018",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Genetic analysis of a recently establishedUndaria pinnatifida(Laminariales: Alariaceae) population in the northern Wadden Sea reveals close proximity between drifting thalli and the attached population","54","1469-4433","http://dx.doi.org/10.1080/09670262.2018.1532116","10.1080/09670262.2018.1532116","2","European Journal of Phycology","Informa UK Limited","Shan, Tifeng and Pang, Shaojun and Wang, Xuemei and Li, Jing and Su, Li and Schiller, Jessica and Lackschewitz, Dagmar and Hall-Spencer, Jason M. and Bischof, Kai","2019","mar","154–161","Shan_2019","article","10.1080/09670262.2018.1532116",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Assessing the State of Demersal Fish to Address Formal Ecosystem Based Management Needs: Making Fisheries Independent Trawl Survey Data ‘Fit for Purpose’","6","2296-7745","http://dx.doi.org/10.3389/fmars.2019.00162","10.3389/fmars.2019.00162",NA,"Frontiers in Marine Science","Frontiers Media SA","Moriarty, Meadhbh and Greenstreet, Simon P. R. and Rasmussen, Jens and de Boois, Ingeborg","2019","apr",NA,"Moriarty_2019","article","10.3389/fmars.2019.00162",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The transcriptome of the marine calanoid copepod Temora longicornis under heat stress and recovery","143","0141-1136","http://dx.doi.org/10.1016/j.marenvres.2018.10.017","10.1016/j.marenvres.2018.10.017",NA,"Marine Environmental Research","Elsevier BV","Semmouri, Ilias and Asselman, Jana and Van Nieuwerburgh, Filip and Deforce, Dieter and Janssen, Colin R. and De Schamphelaere, Karel A.C.","2019","jan","10–23","Semmouri_2019","article","10.1016/j.marenvres.2018.10.017",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Contributions to 21st century projections of extreme sea-level change around the UK","1","2515-7620","http://dx.doi.org/10.1088/2515-7620/ab42d7","10.1088/2515-7620/ab42d7","9","Environmental Research Communications","IOP Publishing","Howard, Tom and Palmer, Matthew D and Bricheno, Lucy M","2019","sep","095002","Howard_2019","article","10.1088/2515-7620/ab42d7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Supporting evidence for PCB pollution threatening global killer whale population","206","0166-445X","http://dx.doi.org/10.1016/j.aquatox.2018.11.008","10.1016/j.aquatox.2018.11.008",NA,"Aquatic Toxicology","Elsevier BV","Schnitzler, Joseph G. and Reckendorf, Anja and Pinzone, Marianna and Autenrieth, Marijke and Tiedemann, Ralph and Covaci, Adrian and Malarvannan, Govindan and Ruser, Andreas and Das, Krishna and Siebert, Ursula","2019","jan","102–104","Schnitzler_2019","article","10.1016/j.aquatox.2018.11.008",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comparison of bivalve communities between moulting and wintering areas used by Common Scoter Melanitta nigra in the German North Sea","229","0272-7714","http://dx.doi.org/10.1016/j.ecss.2019.106398","10.1016/j.ecss.2019.106398",NA,"Estuarine, Coastal and Shelf Science","Elsevier BV","Kottsieper, Johanna and Schückel, Ulrike and Schwemmer, Philipp and Fox, Anthony D. and Garthe, Stefan","2019","nov","106398","Kottsieper_2019","article","10.1016/j.ecss.2019.106398",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Change in the dominance structure of two marine‐fish assemblages over three decades","94","1095-8649","http://dx.doi.org/10.1111/jfb.13868","10.1111/jfb.13868","1","Journal of Fish Biology","Wiley","Moyes, Faye and Magurran, Anne E.","2018","dec","96–102","Moyes_2018","article","10.1111/jfb.13868",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bioavailability and distribution of PAHs and PCBs in the sediment pore water of the German Bight and Wadden Sea","138","0025-326X","http://dx.doi.org/10.1016/j.marpolbul.2018.11.052","10.1016/j.marpolbul.2018.11.052",NA,"Marine Pollution Bulletin","Elsevier BV","Niehus, Nora C. and Brockmeyer, Berit and Witt, Gesine","2019","jan","421–427","Niehus_2019","article","10.1016/j.marpolbul.2018.11.052",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abiotic drivers of interannual phytoplankton variability and a 1999–2000 regime shift in the North Sea examined by multivariate statistics","55","1529-8817","http://dx.doi.org/10.1111/jpy.12893","10.1111/jpy.12893","6","Journal of Phycology","Wiley","Peperzak, Louis and Witte, Harry","2019","aug","1274–1289","Peperzak_2019","article","10.1111/jpy.12893",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fish communities diverge in species but converge in traits over three decades of warming","25","1365-2486","http://dx.doi.org/10.1111/gcb.14785","10.1111/gcb.14785","11","Global Change Biology","Wiley","McLean, Matthew and Mouillot, David and Lindegren, Martin and Villéger, Sébastien and Engelhard, Georg and Murgier, Juliette and Auber, Arnaud","2019","aug","3972–3984","McLean_2019","article","10.1111/gcb.14785",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trace metal speciation in North Sea coastal waters","692","0048-9697","http://dx.doi.org/10.1016/j.scitotenv.2019.07.314","10.1016/j.scitotenv.2019.07.314",NA,"Science of The Total Environment","Elsevier BV","Gaulier, Camille and Zhou, Chunyang and Guo, Wei and Bratkic, Arne and Superville, Pierre-Jean and Billon, Gabriel and Baeyens, Willy and Gao, Yue","2019","nov","701–712","Gaulier_2019","article","10.1016/j.scitotenv.2019.07.314",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Changes in chlorophyll concentration and phenology in the North Sea in relation to de‐eutrophication and sea surface warming","65","1939-5590","http://dx.doi.org/10.1002/lno.11351","10.1002/lno.11351","4","Limnology and Oceanography","Wiley","Desmit, Xavier and Nohe, Anja and Borges, Alberto Vieira and Prins, Theo and De Cauwer, Karien and Lagring, Ruth and Van der Zande, Dimitry and Sabbe, Koen","2019","nov","828–847","Desmit_2019","article","10.1002/lno.11351",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Reduction in Body Mass and Blubber Thickness of Harbor Porpoises (Phocoena phocoena) Due to Near-Fasting for 24 Hours in Four Seasons","45","0167-5427","http://dx.doi.org/10.1578/AM.45.1.2019.37","10.1578/am.45.1.2019.37","1","Aquatic Mammals","Aquatic Mammals Journal","Kastelein, Ronald A. and Helder-Hoek, Lean and Jennings, Nancy and van Kester, Ruby and Huisman, Rowanne","2019","jan","37–47","Kastelein_2019","article","10.1578/AM.45.1.2019.37",NA,NA,NA,NA,NA,NA,NA,NA,NA
"The future regime of Atlantic nutrient supply to the Northwest European Shelf","189","0924-7963","http://dx.doi.org/10.1016/j.jmarsys.2018.10.002","10.1016/j.jmarsys.2018.10.002",NA,"Journal of Marine Systems","Elsevier BV","Mathis, M. and Elizalde, A. and Mikolajewicz, U.","2019","jan","98–115","Mathis_2019","article","10.1016/j.jmarsys.2018.10.002",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Systematic review of arsenic in fresh seafood from the Mediterranean Sea and European Atlantic coasts: A health risk assessment","126","0278-6915","http://dx.doi.org/10.1016/j.fct.2019.01.010","10.1016/j.fct.2019.01.010",NA,"Food and Chemical Toxicology","Elsevier BV","Ferrante, Margherita and Napoli, Salvatore and Grasso, Alfina and Zuccarello, Pietro and Cristaldi, Antonio and Copat, Chiara","2019","apr","322–331","Ferrante_2019","article","10.1016/j.fct.2019.01.010",NA,NA,NA,NA,NA,NA,NA,NA,NA
